Row Labels,Sum of Precip (in),Sum of Temp (F) ,Sum of Height (in),Sum of Deer,Sum of Bear,,Month,Precip (in),Temp (F) ,Height (in),Deer,Bear,,Month,Precip (cm),Temp (C) ,Height (cm),Deer,Bear
56,1,83,0,0,1,,56,1,83,0,0,1,,56,3,28,0,0,1
57,0,74,0,0,0,,57,0,74,0,0,0,,57,0,23,0,0,0
58,0,64,0,0,0,,58,0,64,0,0,0,,58,0,18,0,0,0
59,1,55,1,0,0,,59,1,55,1,0,0,,59,3,13,3,0,0
60,3,49,4,0,0,,60,3,49,4,0,0,,60,8,9,10,0,0
61,7,49,8,1,0,,61,7,49,8,1,0,,61,18,9,20,1,0
62,9,55,9,2,1,,62,9,55,9,2,1,,62,23,13,23,2,1
63,11,64,6,1,2,,63,11,64,6,1,2,,63,28,18,15,1,2
64,11,74,3,0,1,,64,11,74,3,0,1,,64,28,23,8,0,1
65,9,83,2,0,0,,65,9,83,2,0,0,,65,23,28,5,0,0
66,7,88,2,1,0,,66,7,88,2,1,0,,66,18,31,5,1,0
67,3,88,1,1,1,,67,3,88,1,1,1,,67,8,31,3,1,1
68,1,83,0,0,1,,68,1,83,0,0,1,,68,3,28,0,0,1
69,0,74,0,0,0,,69,0,74,0,0,0,,69,0,23,0,0,0
70,0,64,0,0,0,,70,0,64,0,0,0,,70,0,18,0,0,0
71,1,55,1,0,0,,71,1,55,1,0,0,,71,3,13,3,0,0
72,3,49,4,0,0,,72,3,49,4,0,0,,72,8,9,10,0,0
Grand Total,373,4954,220,35,37,,,,,,,,,,,,,,
